,tag_id,tag_name
0,0,-
1,1,--1-
2,2,--10-
3,3,--12-
4,4,--122-
5,5,--166-
6,6,--17-
7,7,--19-
8,8,--2-
9,9,--258-
10,10,--3-
11,11,--33-
12,12,--4-
13,13,--5-
14,14,--51-
15,15,--6-
16,16,--62-
17,17,--8-
18,18,--99-
19,19,--available-at-raspberrys--
20,20,-2001--
21,21,-calif--
22,22,-d-c--
23,23,-dean
24,24,-england-
25,25,-fiction
26,26,-fictional
27,27,-fictitious
28,28,-football-
29,29,-george
30,30,-gr-
31,31,-history
32,32,-imaginary
33,33,-italy-
34,34,-la--
35,35,-los
36,36,-mass--
37,37,-murder-
38,38,-n-y--
39,39,-non-poetry-
40,40,-performing
41,41,-post
42,42,-psychology-
43,43,-read
44,44,-single
45,45,-specific
46,46,-television
47,47,0
48,48,0-0-0-0cant-find
49,49,0-0-bingo
50,50,0-4-star-rating
51,51,0-a-find-2016-summer-00
52,52,0-all2
53,53,0-best-picture-younger
54,54,0-boxed
55,55,0-c
56,56,0-eric-s-books
57,57,0-house-lbkc
58,58,0-kindle
59,59,0-love-funny
60,60,0-made-me-cry-moved-me
61,61,0-nonfiction
62,62,0-owned
63,63,0-paperback
64,64,0-pgs-200-to-299
65,65,0-physical-own
66,66,0-plays
67,67,0-plc
68,68,0-tbr-axz-usa
69,69,00-exploring-1
70,70,00-graphic-novels-read
71,71,00-in-class
72,72,00-to-read-00
73,73,00-to-read-02
74,74,0000
75,75,0000-to-buy
76,76,00000
77,77,0000_notverified
78,78,000src-su-25-11-3-x
79,79,000src-w-15-01-i-me-mine
80,80,001-150-pages
81,81,001-ebook
82,82,002-read-cookbook
83,83,002-une-bonne-selection
84,84,007
85,85,008-strategy
86,86,01
87,87,01-alphabet-authors
88,88,01-distopias
89,89,01-ecookbooks
90,90,01-folklore
91,91,01-irl-bookshelf-comics
92,92,01-mine
93,93,01-words
94,94,016-sam-j-miller
95,95,01_best-books
96,96,02-500-750
97,97,02-black-exp
98,98,02-fantasy
99,99,02-folklore
100,100,02-to-read-speculative-fiction
101,101,02-words-sb
102,102,0201-0300-pages
103,103,029-نجيب-محفوظ
104,104,03-20thcentury-american-lit
105,105,03-classic-fairy
106,106,03-classic-fairy-tales
107,107,03-informational
108,108,03-sami-lukematta
109,109,03-star
110,110,03-words-sc
111,111,04-babies-and-toddlers
112,112,04-caldecott
113,113,04-easy-to-read-books
114,114,04-preschoolers
115,115,04-realistic-fiction
116,116,04-star
117,117,04-stars
118,118,0471239720
119,119,05-high-fantasy
120,120,05ip9hg
121,121,06-not-my-kind-of-book
122,122,06-traditional
123,123,07-hist-fiction
124,124,07-modern-fantasy
125,125,07-まんが-ほか
126,126,08-childhood-ya
127,127,08-realistic-fiction
128,128,08-words-ns
129,129,0fiction-incomplete-series
130,130,0nonfiction
131,131,0want-it
132,132,0wn
133,133,0wned
134,134,1
135,135,1-0-1-9
136,136,1-000-books-before-kindergarten
137,137,1-1
138,138,1-10
139,139,1-12
140,140,1-2
141,141,1-4
142,142,1-5-stars-all-genres
143,143,1-ab-a-a-bookcount-5
144,144,1-and-2-stars
145,145,1-art-modern
146,146,1-at-school
147,147,1-ax-a-a-bookscouter-1
148,148,1-b
149,149,1-books-i-own
150,150,1-bx-libraries
151,151,1-children-ya
152,152,1-chronicles
153,153,1-classic-literature
154,154,1-favorites
155,155,1-fiction
156,156,1-gen-lit
157,157,1-have
158,158,1-in-3
159,159,1-in-series
160,160,1-jordan-peterson
161,161,1-kindle
162,162,1-ladies-detective-agency
163,163,1-ladys-detective-agency
164,164,1-lifestyle
165,165,1-manga-manhwa-manhua-series-done
166,166,1-my-ex-collection
167,167,1-my-extra-longlist
168,168,1-novellas-short-stories-essays
169,169,1-of-best-books-ever
170,170,1-of-trilogy
171,171,1-own
172,172,1-owned
173,173,1-owned-books
174,174,1-owning
175,175,1-read-bookshelf
176,176,1-read-duplicate
177,177,1-star
178,178,1-stars
179,179,1-stephen-king
